FirstName,LastName,Age,Pos,Tm,H/A,Opp,Column2,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
Dwayne,Bacon,25-121,G,ORL,A,OKC,W,12/29/2020,1,23,9,10,0.9,9,10,0.9,0,0,0,0,0,0,1,7,8,0,0,0,0,2,18,16.6,6.9
Terrence,Ross,29-336,F-G,ORL,H,CLE,W,1/6/2021,0,22,6,9,0.667,1,3,0.333,5,6,0.833,3,4,0.75,0,2,2,2,1,1,1,5,20,16.4,
Nikola,Vučević,30-068,C,ORL,H,PHI,L,12/31/2020,1,24,8,15,0.533,5,9,0.556,3,6,0.5,0,0,0,2,8,10,3,0,0,0,3,19,16.4,14
Terrence,Ross,29-326,F-G,ORL,A,WAS,W,12/27/2020,0,31,7,15,0.467,3,8,0.375,4,7,0.571,8,8,1,1,0,1,0,1,0,2,4,26,16.4,1.7
Markelle,Fultz,22-212,G,ORL,A,WAS,W,12/27/2020,1,29,11,21,0.524,9,18,0.5,2,3,0.667,2,2,1,0,2,2,2,1,0,2,1,26,16.3,0.1
Nikola,Vučević,30-064,C,ORL,A,WAS,W,12/27/2020,1,28,5,11,0.455,4,7,0.571,1,4,0.25,4,4,1,0,8,8,4,2,0,0,2,15,15.7,6.8
Khem,Birch,28-098,C-F,ORL,H,CLE,W,1/4/2021,0,23,5,7,0.714,5,7,0.714,0,0,0,2,2,1,6,6,12,1,1,1,1,4,12,14.9,8.7
Dwayne,Bacon,25-129,G,ORL,H,CLE,W,1/6/2021,1,32,8,14,0.571,6,9,0.667,2,5,0.4,1,1,1,0,2,2,1,0,0,0,0,19,13.7,
Evan,Fournier,28-059,G-F,ORL,A,WAS,W,12/27/2020,1,28,4,10,0.4,2,5,0.4,2,5,0.4,9,10,0.9,1,0,1,2,0,0,1,2,19,13.5,-0.2
Aaron,Gordon,25-108,F,ORL,H,OKC,L,1/2/2021,1,28,6,15,0.4,5,9,0.556,1,6,0.167,2,3,0.667,1,7,8,5,0,0,0,0,15,12.8,4.7
Cole,Anthony,20-226,G,ORL,A,WAS,W,12/27/2020,0,19,3,9,0.333,3,7,0.429,0,2,0,6,6,1,4,3,7,3,0,0,0,1,12,12.3,2.9
Aaron,Gordon,25-101,F,ORL,A,WAS,W,12/26/2020,1,30,6,12,0.5,5,10,0.5,1,2,0.5,2,4,0.5,1,8,9,3,0,0,0,3,15,12.2,-1
Nikola,Vučević,30-060,C,ORL,H,MIA,W,12/23/2020,1,34,5,13,0.385,2,8,0.25,3,5,0.6,2,8,0.25,2,9,11,3,1,1,2,0,15,11.4,-1
Aaron,Gordon,25-112,F,ORL,H,CLE,W,1/6/2021,1,27,5,7,0.714,3,5,0.6,2,2,1,3,7,0.429,0,8,8,3,1,1,5,1,15,11.3,
Terrence,Ross,29-334,F-G,ORL,H,CLE,W,1/4/2021,0,31,5,13,0.385,3,6,0.5,2,7,0.286,3,3,1,0,2,2,1,4,0,2,1,15,10.8,3.1
Terrence,Ross,29-322,F-G,ORL,H,MIA,W,12/23/2020,0,29,6,14,0.429,3,8,0.375,3,6,0.5,4,4,1,0,3,3,1,1,0,3,1,19,10.8,-2.4
Markelle,Fultz,22-214,G,ORL,A,OKC,W,12/29/2020,1,32,4,16,0.25,3,14,0.214,1,2,0.5,2,2,1,3,1,4,10,1,0,0,3,11,10.6,-3.6
Nikola,Vučević,30-074,C,ORL,H,CLE,W,1/6/2021,1,34,7,18,0.389,6,13,0.462,1,5,0.2,1,1,1,0,7,7,6,0,1,2,2,16,10.4,
Michael,Carter-Williams,29-078,G,ORL,A,WAS,W,12/27/2020,0,23,3,3,1,3,3,1,0,0,0,0,0,0,1,5,6,3,2,1,2,1,6,9.7,7.5
Khem,Birch,28-100,C-F,ORL,H,CLE,W,1/6/2021,0,25,3,4,0.75,3,4,0.75,0,0,0,0,0,0,4,6,10,2,1,0,1,3,6,9.2,
