FirstName,LastName,Age,Pos,Date,Tm,H/A,Opp,Outcome,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Jordan,Bone,23-071,G,1/15/2021,ORL,@,BOS,L,6.1,0,27,4,8,0.5,3,5,0.6,1,3,0.333,0,0,,0,3,3,0,1,0,0,2,9,-4.1
Jordan,Bone,23-064,G,1/8/2021,ORL,@,HOU,L,6,0,28,3,8,0.375,2,3,0.667,1,5,0.2,0,0,,0,2,2,4,0,0,0,0,7,-6.1
Khem,Birch,28-096,C-F,1/2/2021,ORL,,OKC,L,5.7,0,15,2,4,0.5,2,4,0.5,0,0,,1,1,1,2,0,2,0,1,1,0,1,5,-1.3
Chuma,Okeke,22-133,F,12/29/2020,ORL,@,OKC,W,5.6,0,18,1,3,0.333,1,2,0.5,0,1,0,1,2,0.5,1,2,3,1,2,1,0,0,3,2.4
Dwayne,Bacon,25-139,G,1/16/2021,ORL,@,BRK,L,5.4,1,29,4,10,0.4,3,7,0.429,1,3,0.333,1,2,0.5,0,0,0,0,2,0,0,2,10,-8.3
Dwayne,Bacon,25-118,G,12/26/2020,ORL,@,WAS,W,5.3,1,20,2,3,0.667,0,1,0,2,2,1,0,0,,0,1,1,1,1,0,1,1,6,1.8
Khem,Birch,28-094,C-F,12/31/2020,ORL,,PHI,L,5.2,0,24,2,7,0.286,2,7,0.286,0,0,,2,2,1,4,3,7,1,1,1,2,2,6,-6.2
Mohamed,Bamba,22-244,C,1/11/2021,ORL,,MIL,L,5.1,0,11,3,7,0.429,3,5,0.6,0,2,0,2,3,0.667,3,1,4,1,0,1,1,4,8,-5.8
Khem,Birch,28-116,C-F,1/22/2021,ORL,@,IND,L,5.1,0,27,1,6,0.167,1,5,0.2,0,1,0,3,4,0.75,1,4,5,2,1,0,0,0,5,-5.8
Michael,Carter-Williams,29-077,G,12/26/2020,ORL,@,WAS,W,4.9,0,19,3,4,0.75,2,2,1,1,2,0.5,1,2,0.5,2,1,3,2,0,0,3,3,8,-3.3
Gary,Clark,26-054,F,1/9/2021,ORL,@,DAL,L,4.9,0,22,2,5,0.4,0,1,0,2,4,0.5,0,0,,2,2,4,0,1,0,1,1,6,-1.6
Khem,Birch,28-086,C-F,12/23/2020,ORL,,MIA,W,4.8,0,14,2,4,0.5,2,4,0.5,0,0,,2,2,1,1,1,2,0,1,0,0,3,6,-3.2
Markelle,Fultz,22-216,G,12/31/2020,ORL,,PHI,L,4.8,1,24,4,11,0.364,4,10,0.4,0,1,0,1,1,1,0,2,2,4,1,1,2,3,9,-5
Dwayne,Bacon,25-134,G,1/11/2021,ORL,,MIL,L,4.7,1,28,5,11,0.455,5,10,0.5,0,1,0,1,2,0.5,0,3,3,0,0,1,1,2,11,-7.3
James,Ennis,30-192,F,1/9/2021,ORL,@,DAL,L,4.6,1,21,2,5,0.4,2,3,0.667,0,2,0,0,0,,0,2,2,1,3,0,1,0,4,-1.1
Chuma,Okeke,22-127,F,12/23/2020,ORL,,MIA,W,4.6,0,22,1,3,0.333,1,2,0.5,0,1,0,1,2,0.5,2,3,5,2,1,0,1,0,3,-2.7
Khem,Birch,28-092,C-F,12/29/2020,ORL,@,OKC,W,4.4,0,14,3,4,0.75,3,4,0.75,0,0,,1,2,0.5,1,1,2,0,2,0,2,4,7,-5.4
Cole,Anthony,20-241,G,1/11/2021,ORL,,MIL,L,4.3,1,23,4,13,0.308,3,9,0.333,1,4,0.25,3,3,1,0,3,3,1,1,0,2,2,12,-9.8
